model,split,mse,rmse,mae,r2
mlp_small,no_shuffle,230.44049615829022,15.180266669538128,12.148261451372685,-0.5097973870951893
mlp_deep,no_shuffle,192.1192469601535,13.860708746675023,11.59384665358043,-0.25872466821930185
