model,mse,rmse,mae,r2,pca_components,iterations,selected_features
mlp_deep,25.58134678110457,5.057800587320992,3.6991576095484104,0.9093132988698226,,108.0,
mlp_small,34.200578685082576,5.8481260832067035,4.505045062545606,0.8787578431959602,,107.0,
linear_regression,116.32797802895502,10.785544864723109,8.357920909342232,0.5876135581578563,,,
correlation_linear_regression,118.00911957545812,10.863200245574879,8.418594523321792,0.5816538570408742,,,"cement,superplasticizer,age,water,fineaggregate,coarseaggregate"
pca_linear_regression,124.11514102709474,11.14069751079773,8.754834094829294,0.5600078136477238,6.0,,
